ID,Provider_1,ProvID_1,Provider_2,ProvID_2,Stationnam,RiverName,RiverBasin,Country,CountryNam,Continent,HydroRegio,DrainArPro,DrainArLDD,YProvided,XProvided,YCorrected,XCorrected,ToCalibrat,ValidGLOFA,Legend_for,Comments,StartDate,EndDate,AddedDate,Lake,Reservoir,Lastupdate,CalibYear
G0318,GRDC,4213033,NA,NA,Near Rocky Mountain House,North Saskatchewan,Nelson,CA,Canada,North_America,11,11000,11690,52.3808,-114.9392,52.35,-114.95,1,1,,,1/1/1914,12/26/2015,,0,0,2/1/2018,2017
G0319,GRDC,4213563,NA,NA,Red Deer,Red Deer River (Trib. S. Saskatchewan),Nelson,CA,Canada,North_America,11,11600,11507,52.2767,-113.8158,52.15,-113.95,1,1,,,1/1/1914,12/31/2016,,0,0,2/1/2018,2017
G0320,GRDC,6337518,NA,NA,Porta,Weser,Weser,DE,Germany,Europe,32,19162,19590,52.249,8.922,52.25,8.95,1,1,,,11/1/1935,12/31/2013,,0,0,,2017
G0321,GRDC,6337100,NA,NA,Vlotho,Weser,Weser,DE,Germany,Europe,32,17618,17643,52.176,8.862,52.15,8.95,1,1,,,1/1/1914,12/31/2013,,0,0,,2017
G0322,GRDC,4214701,NA,NA,A La Tete De La Gorge Prosper,Eastmain,Eastmain,CA,Canada,North_America,11,21400,21281,52.1711,-74.5922,52.05,-74.45,1,1,,[ZZ] hydrograph looks like dam but I found  no info if this is dam or not,10/27/1979,9/30/2001,,0,0,,2017
G0323,GRDC,6357500,NA,NA,Eisenhuettenstadt,Oder,Oder,DE,Germany,Europe,32,52033,52007,52.153,14.688,52.15,14.65,1,1,,,11/1/1920,12/31/2011,,0,0,,2017
G0324,GRDC,4213400,NA,NA,Saskatoon,South Saskatchewan,Nelson,CA,Canada,North_America,11,141000,66769,52.1403,-106.6433,52.25,-106.55,1,1,,,1/1/1914,12/31/2015,,0,0,2/1/2018,2017
G0325,GRDC,6340180,NA,NA,Magdeburg Strombruecke,Elbe,Elbe,DE,Germany,Europe,32,94942,96838,52.135,11.644,52.05,11.75,1,0,, same position as G0329,11/1/1930,12/31/2013,,0,0,,0
G0326,GRDC,4214480,NA,NA,Below Attawapiskat Lake,Attawapiskat,Attawapiskat,CA,Canada,North_America,11,24200,24166,52.0875,-87.0783,52.05,-87.15,1,1,,,10/3/1965,12/31/2016,,191,0,2/1/2018,0
G0327,GRDC,2907400,NA,NA,Mostovoy,Selenga,Yenisei,RU,Russian Federation,Asia,511,440200,447050,52.03,107.48,52.05,107.45,1,1,,,1/1/1936,12/31/1999,,0,0,,0
